=== ANI-1 cards=60
Albero di Pietra | Santo | F=8 P=3 | EFF=Se viene sconfitto da un santo, puoi prendere ogni carta "Pietra" nel tuo cimitero e metterla nel reliquiario. Se attivi questo effetto, questa carta viene scomunicata.
Albero Fortunato | Santo | F=2 P=1 | EFF=Quando sconfitto o mandato al cimitero, pesca 2 carte.
Albero Sacro | Santo | F=10 P=0 | EFF=Va posizionato immediatamente quando pescato. Il turno termina. Alla fine di ogni turno (tuo o dell’avversario), evoca un Token Albero. Ogni Token ucciso fa guadagnare 2 Fede ad Albero Sacro (anziché 2 Peccato al giocatore).
Albero Sconsacrato | Santo | F=3 P=3 | EFF=Ogni santo sconfitto da questa carta viene scomunicato.
Albero Secolare | Santo | F=7 P=3 | EFF=Ogni volta che subisce danno non mortale, ottiene +7 Fede.
Anfibio Tossico | Santo | F=2 P=2 | EFF=Quando attacca un santo avversario, dopo il calcolo del danno, equipaggia questa carta a quel santo. Alla fine del prossimo turno, il santo equipaggiato viene distrutto e questa carta viene esiliata.
Aquila Vorace | Santo | F=2 P=8 | EFF=Se distrugge un santo con un attacco, torna nella tua mano.
Cataclisma Ciclico | Artefatto | F=6 P=None | EFF=Finchè questa carta è sul terreno, prima della tua fase di pescata, devi distruggere un santo sul tuo terreno o del tuo avversario. Se il santo distrutto è sul tuo terreno, infliggi 2 peccato al tuo avversario, altrimenti perde 1 peccato.
Caverna Profonda | Artefatto | F=2 P=None | EFF=Finchè questa carta è sul terreno, ogni carta "Pietra" distrutta torna nel reliquiario anzichè finire nel cimitero.
Ciclicità Climatica | Innata | F=None P=None | EFF=Una volta per turno, scegli una carta santo con rarità 4 o inferiore presente nel tuo cimitero. Evocala sul terreno senza spendere Ispirazione.
Colori d'Autunno | Maledizione | F=None P=None | EFF=Per ogni carta Albero sul tuo campo, guadagni 2 Peccato e la distruggi. Per ogni carta distrutta in questo modo, evoca un Segno del Passato dalla tua mano o reliquiario.
Corteccia | Artefatto | F=5 P=None | EFF=Tutte le carte Albero ottengono +5 Fede.
Creature del Sottobosco | Santo | F=6 P=4 | EFF=Quando questa carta viene scomunicata, pesca 3 carte.
Cuore della foresta | Artefatto | F=5 P=None | EFF=Ogni volta che un token Albero viene sconfitto in battaglia o distrutto per effetti di carte, infliggi 1 peccato al tuo avversario.
Diboscamento | Maledizione | F=None P=None | EFF=Cerca 3 carte Albero nel tuo reliquiario e mandale al cimitero.
Fiamma Primordiale | Edificio | F=7 P=None | EFF=Ogni volta che un santo avversario attacca, subisce 2 danni. Se un santo avversario viene distrutto per via di questo effetto, perdi 2 punti peccato.
Fioritura Primaverile | Benedizione | F=None P=None | EFF=Conferisci +2 fede e +2 forza ad ogni santo della religione "Animismo" presenti sul terreno.
Foresta Sacra | Edificio | F=10 P=None | EFF=Le tue carte Albero non possono essere bersagliate da maledizioni o benedizioni nemiche. Se una carta Albero viene scomunicata, torna nel mazzo d’origine invece.
Golem di Pietra | Santo | F=4 P=4 | EFF=Se distrugge un santo, la sua Fede torna a 4.
Incendio | Artefatto | F=2 P=None | EFF=Raddoppia il danno inflitto dall'effetto di "Fiamma Primordiale" per ogni copia di questa carta presente sul tuo lato di campo.
Insetto della Palude | Santo | F=2 P=2 | EFF=Non può essere bersagliato da maledizioni.
Insetto Dorato | Santo | F=3 P=2 | EFF=Può attaccare tutti i santi nemici in zona d’attacco. Per ogni attacco riuscito, ottiene +1 Forza.
Inverno | Maledizione | F=None P=None | EFF=Scegli 3 carte in campo con rarità ≤ 8. Scomunicale insieme a questa carta.
Larva Pestilenziale | Santo | F=2 P=1 | EFF=Dimezza la forza del santo che distrugge questa carta.
Legame Primordiale | Benedizione | F=None P=None | EFF=Per ogni Albero che controlli, puoi spostare una carta con rarità ≤ 7 dal tuo cimitero al reliquiario.
Memoria della Pietra | Benedizione | F=None P=None | EFF=Evoca una carta "Pietra" dal tuo cimitero al tuo terreno. Scomunica questa carta.
Monsone | Maledizione | F=None P=None | EFF=Manda 3 carte dalla tua mano o dalla cima del reliquiario al cimitero. Poi scegli 3 carte con rarità ≤ 8 sul campo e rimettili nel reliquiario del proprietario.
Muschio Tossico | Santo | F=2 P=2 | EFF=Quando questo santo viene distrutto, l'avversario sceglie una carta dal proprio reliquiario e la manda al cimitero.
Occhi della Notte | Santo | F=2 P=2 | EFF=Può attaccare anche dalla zona di difesa.
Pianta Carnivora | Santo | F=3 P=3 | EFF=Considerata una carta Albero. Se in campo è presente "Insetto della Palude", questa carta ottiene +2 Fede e +2 Forza.
Pietra Bianca | Benedizione | F=None P=None | EFF=Perdi un numero di Peccato pari alla Forza del santo su cui attivi questa carta.
Pietra Focaia | Santo | F=2 P=4 | EFF=Ogni volta che attacca un santo avversario, cerca nel tuo reliquiario un carta artefatto e aggiungila alla tua mano.
Pietra Levigata | Santo | F=6 P=6 | EFF=Una volta per turno, scegli un santo sul terreno avversario. Aggiungi fede e forza di quel santo a questa carta. Puoi selezionare lo stesso santo più volte. Quando uno dei santi targettati dall'effetto di questa carta viene distrutto, distruggi anche questo santo.
Pietra Nera | Maledizione | F=None P=None | EFF=Equipaggia questa carta su un santo. Distruggi questa carta equipaggiata per prevenire il primo attacco ricevuto da quel santo.
Pietre Aguzze | Artefatto | F=4 P=None | EFF=Ogni volta che un santo avversario entra in campo, subisce 2 Peccato.
Pietre Pesanti | Maledizione | F=None P=None | EFF=Durante il prossimo turno, l'avversario consuma il doppio dell'ispirazione per giocare le proprie carte.
Pioggia | Benedizione | F=None P=None | EFF=Ogni tuo santo ferito ottiene +4 Fede.
Pioggia Acida | Maledizione | F=None P=None | EFF=Tutti i santi in campo perdono 2 Fede.
Preghiera: Fertilità | Benedizione | F=None P=None | EFF=Scegli 3 carte "Albero" nel tuo cimitero. La prima verrà messa in campo, la seconda verrà pescata, la terza verrà scomunicata. Non è possibile scegliere un edificio se la zona dedicata è già occupata.
Proibizione Naturale | Maledizione | F=None P=None | EFF=Annulla l'effetto di un santo.
Radici | Artefatto | F=6 P=None | EFF=Ogni carta Albero guadagna +2 Fede per turno.
Ruscello Sacro | Edificio | F=8 P=None | EFF=Ogni token Albero fa guadagnare il doppio della Fede ad "Albero Sacro". Finchè questa carta è in campo, ottieni +2 Ispirazione per turno.
Sabbie Mobili | Artefatto | F=5 P=None | EFF=Finchè in campo, ogni giocatore può attaccare con un solo santo per turno.
Sacrificio Naturale | Benedizione | F=None P=None | EFF=Può essere giocata solo se l’avversario non ha santi in difesa. Evoca 3 Token Sacrificali nelle sue zone difensive.
Segno Del Passato | Artefatto | F=8 P=None | EFF=I santi avversari perdono 4 Forza finche attiva sul terreno.
Sequoia | Santo | F=8 P=4 | EFF=Ogni volta che infligge un attacco mortale, raddoppia la sua Forza.
Spore | Benedizione | F=None P=None | EFF=Metti tutte le carte della tua mano nel reliquiario. Durante il tuo prossimo turno, pesca 8 carte.
Stalagmiti | Santo | F=5 P=2 | EFF=Ogni volta che questa carta subisce danno da un santo avversario, esso subirà 3 danni.
Stalattiti | Santo | F=4 P=4 | EFF=Ogni volta che questa carta subisce danno da un santo avversario, esso subirà 2 danni.
Tempesta | Maledizione | F=None P=None | EFF=Ogni santo avversario subisce 3 di danno.
Terremoto: Magnitudo 10 | Maledizione | F=None P=None | EFF=Distruggi tutti gli artefatti ed edifici sul campo. Entrambi i giocatori guadagnano 2 Peccato per ogni carta distrutta. Se "Vulcano" è presente nella tua mano al momento della risoluzione di questo effetto, evocalo. Scomunica questa carta.
Terremoto: Magnitudo 3 | Maledizione | F=None P=None | EFF=Distruggi un artefatto avversario e guadagna 2 Peccato.
