Acqua || Artefatto || CRI-1 || I tuoi santi sono immuni alle maledizioni che causano la loro morte.
Araldo della Fine || Santo || CRI-1 || Se Altare dei Sette Sigilli è presente sul campo e ha almeno 7 Sigilli, questo santo ottiene +5 forza. Quando questo santo viene distrutto in battaglia o per effetto di una carta, aggiungi 3 Sigilli all Altare.
Arca della salvezza || Maledizione || CRI-1 || Scegli due santi sul terreno. Distruggi tutti gli altri.
Aria || Artefatto || CRI-1 || Ottieni +1 ispirazione ogni turno finchè questa carta è sul terreno.
Brigante || Santo || CRI-1 || Sacrifica un tuo santo per poterlo giocare. Aggiungi la fede iniziale del santo sacrificato a quella di questo santo. Entrambe le carte, alla loro morte, non faranno accumulare peccato.
Campana || Artefatto || CRI-1 || Aggiungi un segnalino contatore a questa carta all'inizio di ogni tuo turno. Puoi attivare l'effetto di questa carta rimuovendo qualsiasi numero di segnalini accumulati. Il costo in ispirazione per attivare questo effetto è pari al numero di segnalini rimossi. Per ogni segnalino rimosso, aumenta la fede di tutti i tuoi santi presenti sul campo di 1.
Chiesa || Edificio || CRI-1 || Tutti i tuoi santi sul campo guadagnano 2 fede per ogni carta che peschi.
Custode dei Sigilli || Santo || CRI-1 || Quando entra in campo, se Altare dei Sette Sigilli è presente sul campo, aggiungi ad esso 2 Sigilli. Per ogni 6 Sigilli presenti sull'Altare, questo santo ottiene +3 forza e +3 fede.
Elemosina || Maledizione || CRI-1 || Sposta un tuo santo dal tuo terreno a quello avversario per un turno. Alla morte del santo, il giocatore che lo controlla in quel momento guadagna i punti peccato.
Fuoco || Artefatto || CRI-1 || Alla fine di ogni turno, tutti i santi sul campo con rarità pari o superiore a 4 croci perderanno 2 di fede. Se la fede di un santo raggiunge 0, esso verrà distrutto.
Genesi: Compimento || Benedizione || CRI-1 || L'attivazione e risoluzione di questa carta non possono essere interrotte. Questo effetto è attivabile solo se "Custode della Creazione" è presente sul tuo lato di campo. Vinci il duello.
Giorno 1: Cieli e Terra || Benedizione || CRI-1 || Posiziona un artefatto dalla tua mano al terreno pagando metà costo di ispirazione.
Giorno 5: Creature del Mare || Santo || CRI-1 || Può attaccare solo se la tua ispirazione rimanente è superiore a 2.
Giorno 6: Creature di Terra || Santo || CRI-1 || Può attaccare solo se la tua ispirazione rimanente è inferiore a 5.
Giudizio Universale || Maledizione || CRI-1 || Riporta tutte le carte dai cimiteri ai rispettivi reliquiari e mischiali.
Moribondo || Santo || CRI-1 || Puoi scomunicare questa carta dalla tua mano per annullare la distruzione di un tuo santo.
Paladino della Fede || Santo || CRI-1 || Quando viene messo in campo, puoi invertire la posizione di un santo in attacco con uno di difesa.
Papa || Santo || CRI-1 || Può essere bersagliato da attacchi nemici solo se non hai altri santi in zona d’attacco.
Proibizione Cristiana || Maledizione || CRI-1 || Annulla l'attivazione dell'effetto di un santo.
Rifugio Sacro || Artefatto || CRI-1 || Ogni danno inferiore a 3 subito dai tuoi santi viene completamente annullato.
Terra || Artefatto || CRI-1 || Finchè in campo, previeni gli effetti degli artefatti avversari che causerebbero la distruzione dei tuoi santi.
Umanità || Artefatto || CRI-1 || Le carte equipaggiate con benedizioni non ti fanno guadagnare peccato alla loro morte.
Vescovo della Città Buia || Santo || CRI-1 || Quando entra in campo, ottiene +5 fede  per ogni santo presente sul terreno avversario.
Vescovo della Città Lucente || Santo || CRI-1 || Quando entra in campo, conferisce +5 fede a ogni santo danneggiato sul tuo terreno.
